46	359	31	
152	362	32	
91	367	11	
45	362	91	367	
46	360	81	336	
78	327	90	365	
92	368	134	330	
82	332	131	326	
129	319	142	345	
142	345	151	362	
78	330	71	313	
58	310	63	316	
65	316	72	316	
59	309	81	309	
75	314	82	307	
129	319	135	315	
151	315	134	315	
153	314	155	321	
143	327	150	327	
150	326	154	323	
154	312	156	309	
73	317	75	315	
45	361	50	358	
80	333	86	332	
89	363	93	367	
89	366	93	367	
151	327	155	323	
154	315	156	322	
152	315	155	315	
73	315	79	315	
81	309	82	312	
78	315	83	310	
63	316	67	316	
74	316	79	332	
47	361	7	
46	354	91	355	
44	367	90	377	

